date,F,T,r,atm_iv,alpha,nu,rho,iv_rmse,warn_code,implied_variance,implied_skew,implied_kurtosis
2024-07-03,75.43,1.2082191780821918,0.0533,0.24861338562849516,0.27327340637961084,0.5000642176235761,-0.3001041967762414,4.870016780955666e-07,,0.08441355941557342,-0.5153532537703222,3.861955212557815
2024-07-05,74.84,1.2027397260273973,0.053200000000000004,0.2482425854097306,0.27224637991021045,0.5000645449716237,-0.30010474581683505,4.5708082596629396e-09,,0.08379100770179597,-0.516408414103747,3.8675610026760108
2024-07-08,74.6,1.1945205479452055,0.053200000000000004,0.2496526513795482,0.272855677665933,0.5000640626629771,-0.3001039287308545,4.600171688018406e-09,,0.08416012463057931,-0.5157830614844398,3.864236918652124
2024-07-09,73.75,1.1917808219178083,0.053399999999999996,0.2477057700682868,0.2704172048532157,0.5000699499615454,-0.3001142686115064,8.805328910455046e-09,,0.0826867183998337,-0.5182715055179201,3.877506571265562
2024-07-10,73.72,1.189041095890411,0.053399999999999996,0.2461480101391117,0.26840757097207774,0.500074911756739,-0.3001229991346544,7.68949243168393e-09,,0.08147977465511856,-0.5202673814004257,3.8883383346216265
2024-07-11,73.74,1.1863013698630136,0.053399999999999996,0.2453839705330006,0.2672659947755913,0.5000776868154669,-0.300127880142466,5.580276241090587e-09,,0.08079716232760074,-0.5213784188865208,3.8944465909996486
2024-07-12,73.67,1.1835616438356165,0.053399999999999996,0.2458515326953246,0.2674658635884781,0.5000771752166092,-0.3001269770768237,4.629984534654241e-09,,0.0809165156888135,-0.5211849970298394,3.8933794312037793
2024-07-15,73.46,1.1753424657534246,0.053399999999999996,0.24691045253572533,0.2676835537398957,0.5000765342545326,-0.30012583483192035,4.667068564945254e-09,,0.08104658305979795,-0.5209734607611951,3.892215574858045
2024-07-16,72.62,1.1726027397260275,0.0535,0.25048082163501423,0.27123762406701907,0.5000608173544885,-0.3000966697861043,4.0526701328147396e-08,,0.08318095486020367,-0.5174170277272214,3.873025763194224
2024-07-17,73.28,1.16986301369863,0.0535,0.24922510608329398,0.2695623878556565,0.5000663005184891,-0.3001065089943824,8.741201817930033e-09,,0.08217218899865075,-0.5191059207433921,3.8821000573006055
2024-07-18,73.33,1.167123287671233,0.053399999999999996,0.25061448682375476,0.2707475523790648,0.5000625311789426,-0.3000997538206059,6.560411047740189e-09,,0.08288538085870088,-0.5179150609020027,3.8756876101077324
2024-07-19,71.57,1.1643835616438356,0.053399999999999996,0.2531321420772081,0.27314630318714433,0.500047792190974,-0.3000709763262253,4.004694359460714e-08,,0.08433546612790101,-0.5154254462405456,3.8625790538340645
2024-07-22,71.77,1.1561643835616437,0.0533,0.25369340381746597,0.2727840472843723,0.5000499082546085,-0.3000750557542282,5.371800615439071e-09,,0.08411587233952,-0.5158054437353702,3.864566231285649
2024-07-23,70.57,1.1534246575342466,0.053399999999999996,0.2566762191134714,0.27566412406872537,0.5000279188657396,-0.30002982053290056,9.32186173252525e-08,,0.08586717883143276,-0.5127195491049898,3.8486688220276757
