iv_vol_ratio,predicted_gamma
5.474873631997258,0.93605644
7.0516641087835366,0.9371353
8.628454585569814,0.9380496
10.205245062356093,0.93832695
11.782035539142372,0.93832695
13.358826015928651,0.93832695
14.935616492714928,0.93832695
16.512406969501207,0.93832695
18.089197446287486,0.93832695
19.665987923073764,0.93832695
21.242778399860043,0.93832695
22.819568876646322,0.93832695
24.3963593534326,0.93832695
25.97314983021888,0.93832695
27.54994030700516,0.93832695
29.126730783791437,0.93822414
30.703521260577716,0.93822414
32.280311737363995,0.93822414
33.857102214150274,0.93822414
35.43389269093655,0.9382812
37.01068316772283,0.9382812
38.5874736445091,0.9382812
40.16426412129538,0.9382812
41.74105459808166,0.9382812
43.31784507486794,0.9382812
44.89463555165422,0.9382812
46.4714260284405,0.9382812
48.048216505226776,0.9382812
49.625006982013055,0.9382812
51.201797458799334,0.9382812
52.77858793558561,0.9382812
54.35537841237189,0.9382812
55.93216888915817,0.9382812
57.50895936594445,0.9382812
59.08574984273073,0.9381431
60.66254031951701,0.9381431
62.239330796303285,0.9381431
63.816121273089564,0.9381431
65.39291174987585,0.9381431
66.96970222666212,0.9381431
68.54649270344841,0.9381431
70.12328318023468,0.9381431
71.70007365702095,0.9381431
73.27686413380724,0.9381431
74.85365461059351,0.9381431
76.4304450873798,0.9381431
78.00723556416607,0.9381431
79.58402604095235,0.9381431
81.16081651773862,0.9381431
82.73760699452491,0.9381431
84.31439747131118,0.9381431
85.89118794809747,0.9381431
87.46797842488374,0.9381431
89.04476890167003,0.9381431
90.6215593784563,0.9381431
92.19834985524258,0.9381431
93.77514033202885,0.9381431
95.35193080881514,0.9381431
96.92872128560141,0.9381431
98.5055117623877,0.9381431
100.08230223917397,0.9381431
101.65909271596026,0.9381431
103.23588319274653,0.9381431
104.81267366953281,0.9381431
106.38946414631909,0.9381431
107.96625462310536,0.9381431
109.54304509989164,0.9381431
111.11983557667791,0.9381431
112.6966260534642,0.9381431
114.27341653025047,0.9381431
115.85020700703676,0.9381431
117.42699748382303,0.9381431
119.00378796060932,0.9381431
120.58057843739559,0.9381431
122.15736891418187,0.9381431
123.73415939096814,0.9381431
125.31094986775443,0.9381431
126.8877403445407,0.9381431
128.464530821327,0.9381431
130.04132129811327,0.9381431
131.61811177489955,0.9381431
133.19490225168582,0.9381431
134.77169272847212,0.9381431
136.3484832052584,0.9381431
137.92527368204466,0.9381431
139.50206415883096,0.9381431
141.07885463561723,0.9381431
142.6556451124035,0.9381431
144.23243558918978,0.9381431
145.80922606597608,0.9381431
147.38601654276235,0.9381431
148.96280701954862,0.9381431
150.5395974963349,0.9381431
152.1163879731212,0.9381431
153.69317844990746,0.9381431
155.26996892669374,0.9381431
156.84675940348,0.9381431
158.42354988026628,0.9381431
160.00034035705258,0.9381431
161.57713083383885,0.9381431
